student_id,semester,previous_cgpa,attendance,internal_marks,assignment_completion,lab_marks,backlogs,study_hours,performance_category
S1364,5,4.48,75.21,37.41,71.61,90.84,4,5.6,AVERAGE
S1365,6,7.62,50.54,62.7,78.34,76.91,1,4.16,AVERAGE
S1366,2,6.3,92.91,66.34,91.6,78.17,0,5.43,GOOD
S1367,2,8.26,90.88,47.86,95.98,51.59,0,2.12,GOOD
S1368,7,7.69,87.3,43.38,52.23,61.37,2,5.71,AVERAGE
S1369,3,5.84,50.29,46.31,71.71,58.09,3,2.89,AVERAGE
S1370,2,8.94,55.83,55.65,89.97,67.85,1,2.91,AVERAGE
S1371,6,8.19,84.41,40.81,58.19,64.12,3,2.14,AVERAGE
S1372,1,5.49,46.23,91.84,66.39,55.59,3,3.33,GOOD
S1373,7,6.0,96.9,59.3,99.14,54.25,1,3.32,GOOD
S1374,7,5.73,64.99,83.54,99.1,50.8,1,4.18,AVERAGE
S1375,6,4.87,83.12,93.47,94.37,58.0,3,2.33,GOOD
S1376,3,4.81,92.04,39.84,87.91,44.45,3,2.35,AT RISK
S1377,1,9.15,65.92,74.1,56.15,89.94,0,4.79,AVERAGE
S1378,3,6.41,61.91,87.28,59.25,72.93,1,1.9,GOOD
S1379,3,6.11,77.26,73.05,72.84,43.43,2,5.82,AVERAGE
S1380,7,8.01,75.79,60.74,73.65,78.71,2,7.61,GOOD
S1381,5,7.04,66.68,60.86,70.33,88.4,0,3.99,AVERAGE
S1382,7,9.15,76.89,37.15,78.2,49.96,4,7.31,AVERAGE
S1383,6,8.29,94.58,67.08,64.5,44.49,1,1.69,GOOD
S1384,6,6.64,69.78,94.61,84.95,35.54,1,1.3,GOOD
S1385,1,6.07,55.43,92.52,60.01,37.98,0,6.05,AVERAGE
S1386,1,9.43,64.99,37.42,59.84,83.02,4,6.33,GOOD
S1387,1,7.95,65.89,77.35,47.63,97.19,1,6.9,GOOD
S1388,5,9.23,51.95,53.11,51.32,37.83,4,1.4,AT RISK
S1389,2,4.65,53.63,89.18,91.03,82.13,2,6.44,AVERAGE
S1390,7,8.68,81.28,37.71,66.78,39.53,4,3.64,GOOD
S1391,1,7.5,62.99,91.15,53.67,72.3,0,3.12,GOOD
S1392,7,4.67,95.61,85.25,85.56,82.63,0,2.21,GOOD
S1393,5,7.24,57.91,42.05,73.24,57.63,4,7.97,AVERAGE
S1394,1,7.77,50.24,38.59,41.27,35.69,4,1.45,AT RISK
S1395,1,4.07,84.94,85.08,58.98,72.5,2,6.79,GOOD
S1396,3,6.5,91.69,44.35,50.62,97.45,0,5.48,GOOD
S1397,3,8.54,59.74,67.09,79.35,51.23,4,6.15,GOOD
S1398,3,5.62,55.71,89.94,56.5,46.94,1,5.98,AVERAGE
S1399,4,6.52,54.85,69.05,43.9,42.81,4,7.01,AVERAGE
S1400,1,6.43,72.67,58.83,43.3,69.98,4,2.29,AT RISK
S1401,1,5.66,69.83,61.7,74.9,72.58,4,1.01,AT RISK
S1402,5,9.05,58.75,38.79,41.3,84.91,3,5.19,AVERAGE
S1403,7,8.3,47.39,93.13,90.93,82.44,3,3.48,GOOD
S1404,2,4.61,70.52,53.64,49.32,91.23,2,1.87,AVERAGE
S1405,7,9.48,95.84,46.36,76.39,85.76,0,2.3,AVERAGE
S1406,3,8.84,79.58,52.16,66.68,50.58,1,3.32,GOOD
S1407,3,5.56,71.26,92.86,66.57,70.02,3,1.49,GOOD
S1408,1,8.6,50.87,40.66,44.31,53.74,4,1.4,AVERAGE
S1409,3,4.59,58.38,87.04,88.17,55.78,2,7.41,AVERAGE
S1410,4,9.5,60.62,77.47,93.58,93.71,3,3.18,GOOD
S1411,5,7.66,85.53,84.8,40.66,77.96,0,7.88,GOOD
S1412,2,7.58,91.47,93.55,50.72,96.4,2,7.75,GOOD
S1413,2,4.5,92.79,85.53,94.23,61.27,2,2.0,AVERAGE
S1414,4,8.93,97.18,91.6,72.97,68.86,4,6.0,GOOD
S1415,1,4.16,97.07,42.62,49.0,65.69,1,5.21,AVERAGE
S1416,2,5.32,95.51,82.75,52.17,41.76,1,5.83,AVERAGE
S1417,5,4.79,48.81,67.74,79.6,49.91,1,1.67,AVERAGE
S1418,7,8.27,52.3,67.61,83.49,68.24,0,2.32,GOOD
S1419,5,5.09,61.14,88.94,75.97,39.24,2,1.54,AVERAGE
S1420,2,9.01,74.3,93.31,97.19,93.68,3,5.23,GOOD
S1421,7,7.61,50.14,77.29,69.64,42.8,4,7.91,GOOD
S1422,4,4.2,89.83,63.98,58.02,47.47,4,5.7,AVERAGE
S1423,6,4.03,77.69,62.38,68.63,83.22,0,5.98,AVERAGE
S1424,2,4.28,73.75,58.18,61.58,41.11,1,7.89,AT RISK
S1425,5,7.33,53.76,56.7,53.46,91.72,1,5.75,GOOD
S1426,1,8.41,58.42,58.49,42.76,80.72,1,1.28,AVERAGE
S1427,5,5.31,53.5,40.39,61.13,39.32,4,7.07,AVERAGE
S1428,2,8.67,90.15,39.65,82.68,78.59,0,3.55,AVERAGE
S1429,7,4.31,75.96,81.79,41.11,74.79,0,1.03,AVERAGE
S1430,1,8.41,83.96,61.76,66.35,82.71,4,4.55,GOOD
S1431,5,9.1,60.69,90.84,78.64,87.18,4,7.56,GOOD
S1432,1,8.25,64.68,71.73,76.62,80.26,1,2.8,AVERAGE
S1433,5,7.84,66.46,37.11,86.6,71.93,1,4.44,GOOD
S1434,4,8.61,85.28,44.45,88.63,55.32,2,2.22,GOOD
S1435,7,4.22,85.93,47.35,82.7,78.93,2,1.4,AVERAGE
S1436,5,5.11,55.96,93.54,46.17,95.29,4,1.56,AVERAGE
S1437,3,4.69,94.9,48.12,68.5,72.01,2,6.09,AVERAGE
S1438,1,6.77,51.39,65.95,76.2,76.85,0,7.05,AVERAGE
S1439,5,8.1,92.49,91.17,54.73,62.54,2,2.0,AVERAGE
S1440,4,7.47,50.32,93.63,42.55,82.64,2,3.02,AT RISK
S1441,1,8.68,59.02,49.18,53.42,97.85,2,2.37,GOOD
S1442,5,4.85,89.86,37.95,67.29,45.1,2,1.19,AVERAGE
S1443,2,8.04,54.51,44.22,64.84,47.75,4,4.87,AVERAGE
S1444,2,5.06,66.92,38.8,50.6,68.98,4,5.9,AVERAGE
S1445,1,5.49,68.84,46.71,89.46,65.33,1,5.54,AVERAGE
S1446,3,7.9,58.0,69.11,95.54,71.01,1,3.72,GOOD
S1447,2,9.39,82.64,89.75,52.08,38.09,3,4.89,AVERAGE
S1448,1,7.36,90.12,67.23,95.77,60.47,2,1.66,AVERAGE
S1449,4,4.3,91.35,72.56,41.07,71.73,2,2.08,AVERAGE
S1450,2,7.39,62.98,47.11,95.5,71.87,0,7.52,GOOD
S1451,1,4.23,73.14,83.04,97.12,76.41,1,6.33,GOOD
S1452,4,8.86,58.17,72.07,40.72,80.37,3,7.46,GOOD
S1453,1,7.9,57.97,86.85,85.78,75.42,4,7.42,AVERAGE
S1454,7,4.95,53.55,91.93,98.21,84.79,3,5.55,GOOD
S1455,4,4.5,94.82,55.87,94.35,74.36,1,7.5,GOOD
S1456,7,5.01,92.06,40.43,98.24,68.86,0,3.92,GOOD
S1457,7,9.39,86.2,48.56,73.02,73.19,0,1.03,GOOD
S1458,7,6.52,72.44,61.27,44.69,41.38,1,1.44,AT RISK
S1459,4,8.31,71.0,91.74,90.99,52.21,2,1.77,GOOD
S1460,3,7.5,73.08,57.7,76.83,68.23,4,1.67,AVERAGE
S1461,6,7.15,73.44,81.25,76.88,90.0,4,3.46,AVERAGE
S1462,1,4.8,68.03,67.43,65.04,77.78,0,5.91,AVERAGE
S1463,6,9.2,51.98,45.97,74.31,40.7,3,6.53,GOOD
S1464,3,5.66,51.66,54.24,49.21,72.31,1,5.13,AVERAGE
S1465,1,7.18,95.47,74.19,84.39,48.97,0,2.03,AVERAGE
S1466,2,7.85,70.55,75.37,44.5,81.24,2,6.24,AVERAGE
S1467,2,7.57,95.52,61.09,83.79,87.13,0,3.48,GOOD
S1468,1,9.17,53.67,48.72,90.94,72.39,1,1.09,AVERAGE
S1469,5,4.82,74.38,78.31,68.35,72.26,2,2.96,AVERAGE
S1470,1,6.8,56.01,45.13,70.59,56.33,1,3.31,AVERAGE
S1471,6,6.22,58.42,91.2,58.73,63.11,2,2.92,AT RISK
S1472,4,6.61,46.59,46.27,98.17,89.44,2,6.68,GOOD
S1473,6,4.66,51.3,41.44,83.99,80.57,3,6.32,AVERAGE
S1474,3,4.74,93.59,64.86,62.14,67.74,0,5.87,GOOD
S1475,1,5.53,62.04,66.17,50.49,58.2,0,1.97,AVERAGE
S1476,2,5.68,77.23,65.49,53.17,38.17,2,6.65,GOOD
S1477,5,6.35,69.65,61.2,67.84,44.01,1,5.74,AVERAGE
S1478,6,7.36,66.22,94.69,96.55,47.16,3,2.36,GOOD
S1479,2,7.49,73.19,64.18,84.05,58.52,0,5.54,GOOD
S1480,3,6.26,54.92,63.68,52.91,94.48,2,4.38,AVERAGE
S1481,7,6.25,97.4,60.31,91.57,66.82,4,4.08,GOOD
S1482,6,5.2,88.37,39.01,62.69,49.79,0,1.78,AVERAGE
S1483,3,7.24,84.31,70.58,91.1,41.66,1,4.63,GOOD
S1484,2,5.74,69.84,48.68,54.5,56.31,4,1.7,AT RISK
S1485,3,4.2,53.1,73.26,77.12,86.39,2,2.15,AVERAGE
S1486,4,6.3,93.8,38.05,95.6,59.15,0,1.93,AVERAGE
S1487,4,6.61,63.09,93.88,55.47,83.67,1,7.68,GOOD
S1488,2,5.24,47.66,63.14,81.58,85.57,3,2.99,AVERAGE
S1489,1,7.15,63.15,88.81,99.24,41.98,4,3.49,AVERAGE
S1490,4,7.11,87.11,63.53,49.04,73.35,1,3.25,AVERAGE
S1491,6,7.86,78.0,38.62,45.3,95.42,2,7.29,AVERAGE
S1492,2,7.56,84.79,84.33,80.45,60.33,3,4.94,GOOD
S1493,3,7.59,87.06,73.89,60.38,38.21,0,7.43,AVERAGE
S1494,2,5.74,56.23,81.91,44.27,93.17,1,3.1,AT RISK
S1495,2,8.33,93.96,60.69,68.52,90.67,3,1.8,GOOD
S1496,5,7.02,68.21,73.28,85.23,67.89,0,4.89,GOOD
S1497,3,6.37,78.87,86.37,57.11,69.79,3,3.42,GOOD
S1498,2,7.44,45.12,72.86,60.1,48.34,2,6.61,AVERAGE
S1499,7,5.98,97.65,55.86,90.74,86.63,4,7.16,AVERAGE
S1500,2,6.82,59.89,74.75,71.2,66.41,0,4.31,AVERAGE
